Id,Title,Category,Location_Address,Location_City,Location_Venue,Event_Start,Full_Address,Latitude,Longitude
1,Kursus Musik Tradisional untuk Pencinta Kebudayaan Lokal,Musik,Jl. Sisingamangaraja No. 328 Medan,Medan,Grand Antares,27-Apr-24,"Jl. Sisingamangaraja No. 328 Medan, Medan, Indonesia","3,5570479","98,6942632"
2,Workshop Pagelaran Wayang Kulit & Gelar Budaya,Edukasi,"Jl. Hang Tuah No.7, Talang Semut, Kec. Bukit Kecil",Palembang,ENAMDUA Coffee and Eatery,27-Apr-24,"Jl. Hang Tuah No.7, Talang Semut, Kec. Bukit Kecil, Palembang, Indonesia","-2,9926911","104,7470899"
3,Musik Tradisional untuk Pencinta Kebudayaan Lokal,Musik,Jalan Srijaya Negara,Palembang,UKM Seni Polsri,12-Dec-23,"Jalan Srijaya Negara, Palembang, Indonesia","-2,9901266","104,7290761"
4,Komik digital : cara seru baca sejarah dan budaya,Edukasi,jalan pangeran ario kesuma nomor 204,Palembang,mindset cafe,10-Dec-23,"jalan pangeran ario kesuma nomor 204, palembang, Indonesia","-2,9915529","104,7542304"
5,Membangun negeri yang berbudaya & berdedikasi,Bisnis,jalan bungur 15,Pekalongan,one sixteen,04-Dec-23,"jalan bungur 15, pekalongan, Indonesia","-6,8898362","109,6745916"
6,Kursus Budaya dan Etika dalam Perjalanan,Wisata,Jl. Puri No.12 Medan,Medan,Residence Puri,26-Oct-23,"Jl. Puri No.12 Medan, Medan, Indonesia","3,5777866","98,6885832"
7,Pendidikan agama & kebudayaan di milenial.,Edukasi,"Jl. Wolter Monginsidi No.33, Tj. Karang",Lampung,Liep's Cafe,20-Oct-23,"Jl. Wolter Monginsidi No.33, Tj. Karang, Lampung, Indonesia","-5,4235104","105,2516757"
8,Sukma tradisi dalam seni budaya masa kini,Edukasi,"Jl. Merdeka No.10B, Sumerta Kelod, Kec. Denpasar ",Bali,The Alleyway Cafe,27-Sep-23,"Jl. Merdeka No.10B, Sumerta Kelod, Kec. Denpasar , Bali, Indonesia","-8,6647208","115,2393394"
9,Workshop membership sejarah vespa.,Lainnya,"Jl. Rw. Belong No.2, RT.7/RW.15, Palmerah, Kec. Palmerah",Jakarta,COTECA cafe ,30-Dec-24,"Jl. Rw. Belong No.2, RT.7/RW.15, Palmerah, Kec. Palmerah, jakarta, Indonesia","-6,2044818","106,7831687"
10,Workshop BMX Competition (Membership),Olahraga,"Jl. Lengkong Besar No.97, Paledang, Kec. Lengkong",Bandung,Atmosphere Resort CafÃƒÂ©,25-Dec-24,"Jl. Lengkong Besar No.97, Paledang, Kec. Lengkong, Bandung, Indonesia","-6,9266922","107,6133707"
11,[Reguler-Swasta] Yakin Mau Jadi Guru?!,Edukasi,"Jl. DR. Soeparno No.60, Karangwangkal, Kec. Purwokerto Utara, Banyumas",Banyumas,Ruang B105 Fakultas Ilmu Budaya Unsoed,02-May-24,"Jl. DR. Soeparno No.60, Karangwangkal, Kec. Purwokerto Utara, Banyumas, Banyumas, Indonesia","-7,40245","109,2505375"
12,[Presale-Negeri] Yakin Mau Jadi Guru?!,Edukasi,"Jl. DR. Soeparno No.60, Karangwangkal, Kec. Purwokerto Utara, Banyumas",Purwokerto,Ruang B105 Fakultas Ilmu Budaya Unsoed,02-May-24,"Jl. DR. Soeparno No.60, Karangwangkal, Kec. Purwokerto Utara, Banyumas, Purwokerto, Indonesia","-7,40245","109,2505375"
13,Workshop Mengenal Sejarah Sunan Drajat dengan Gaya Seni Fantasi,Edukasi,"Dermaga Cinta Beach Pool, Jl. Pantai Indah No.7, Ancol",Jakarta,Le Bridge,30-Apr-24,"Dermaga Cinta Beach Pool, Jl. Pantai Indah No.7, Ancol, Jakarta, Indonesia","-6,1225765","106,8434155"
14,Workshop Membahas Meriahnya Hari Raya Idul Fitri,Edukasi,"Jl. Taman Kebon Sirih 1 No.3, Kp. Bali, Kecamatan Tanah Abang",Jakarta,Langit Seduh Rooftop,27-Apr-24,"Jl. Taman Kebon Sirih 1 No.3, Kp. Bali, Kecamatan Tanah Abang, Jakarta, Indonesia","-6,1836013","106,8208336"
15,HIP HOP DANCE CLASS,Musik,Jl Jend Ahmad Yani No.100 Medan,Medan,Medan Musik,06-Apr-24,"Jl Jend Ahmad Yani No.100 Medan, Medan, Indonesia","3,5855933","98,6798499"
16,Petualangan Kuliner di Yogyakarta: Menuju Kelezatan Tradisional (Member Only),Wisata,Jalan Dr. T. Mansur No.9,Medan,Aula Kampus USU - Medan,16-Feb-24,"Jalan Dr. T. Mansur No.9, Medan, Indonesia","3,5951956","98,6722227"
17,Beauty Talkshow,Hiburan,"Jl. Kranggan No.30, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta",Yogyakarta,Blanco Coffee And Books,04-Feb-24,"Jl. Kranggan No.30, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, DI Yogyakarta, Indonesia","-7,7813089","110,3648078"
18,Petualangan Menjelajah Kerajaan Melayu di Jambi untuk Arkeolog,Wisata,"Jalan Dr. T. Mansur No.9, Padang Bulan",Medan,Kampus USU,31-Jan-24,"Jalan Dr. T. Mansur No.9, Padang Bulan, Medan, Indonesia","3,5630956","98,6573084"
19,Coffee Fest 2024,Lainnya,Jl. Tuba III,Medan,Lexi Coffe,25-Jan-24,"Jl. Tuba III, Medan, Indonesia","3,5792482","98,7268692"
20,Batik Talk With Shinta Wendha,Hiburan,"Krodan, Maguwoharjo, Depok, Sleman Regency, Special Region of",Yogyakarta,LUK Coffee & Book,21-Jan-24,"Krodan, Maguwoharjo, Depok, Sleman Regency, Special Region of, DI Yogyakarta, Indonesia","-7,7583979","110,4247192"
21,Workshop Kesenian Tari Bali,Edukasi,"Tengah No 19 Denpasar, Jl. Pidada, Ubung, Kec. Denpasar Utara, Kota De",Bali,hotel mega,21-Jan-24,"Tengah No 19 Denpasar, Jl. Pidada, Ubung, Kec. Denpasar Utara, Kota De, Bali, Indonesia","-6,4024844","106,7942405"
22,Pameran Seni Lukis Bali,Edukasi,"Jl. Mertanadi No.22B, Kerobokan Kelod, Kec. Kuta Utara, Badung,",Bali,Purpa Fine Art Gallery Seminyak,21-Jan-24,"Jl. Mertanadi No.22B, Kerobokan Kelod, Kec. Kuta Utara, Badung,, Bali, Indonesia","-8,6821018","115,1674448"
23,Kursus Bahasa Asing untuk Bepergian,Wisata,Jl. Gajah Mada No.53 Medan,Medan,Gajah Mada Hotel,17-Jan-24,"Jl. Gajah Mada No.53 Medan, Medan, Indonesia","3,5844541","98,6577103"
24,Jelajah Keindahan Pulau Pisang,Wisata,"West Pesisir Regency, Lampung",Lampung,Banana Island,07-Jan-24,"West Pesisir Regency, Lampung, Lampung, Indonesia","-5,2928191","104,1233667"
25,Open Recruitment Penari Tari Merak,Musik,"Jl. Sriwedani No.1, Ngupasan, Kec. Gondomanan, Kota Yogyakarta",Yogyakarta,Taman Budaya Yogyakarta,28-Dec-23,"Jl. Sriwedani No.1, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, DI Yogyakarta, Indonesia","-7,8007318","110,3675954"
26,Menciptakan Hidangan Fusion untuk Festival Kuliner Internasional,Lainnya,Jl. S Parman No. 2151-J Medan,Medan,Grand Swiss Belhotel,26-Dec-23,"Jl. S Parman No. 2151-J Medan, Medan, Indonesia","3,5844204","98,666917"
27,Jelajah Keindahan Pulau Pisang,Wisata,"West Pesisir Regency, Lampung",Bandar Lampung,Banana Island,24-Dec-23,"West Pesisir Regency, Lampung, Bandar Lampung, Indonesia","-5,2928191","104,1233667"
28,Talkshow Trend Perhiasan 2024,Hiburan,"Magelang St No.32-34, Cokrodiningratan, Jetis, Yogyakarta City",Yogyakarta,Genius Idea Coworking Space,20-Dec-23,"Magelang St No.32-34, Cokrodiningratan, Jetis, Yogyakarta City, DI Yogyakarta, Indonesia","-7,7804737","110,3610946"
29,Class Battle Dance,Lainnya,"Jl. Letkol Iskandar No.18, 24 Ilir, Kec. Bukit Kecil, Kota Palembang",Palembang,PIM Mall,19-Dec-23,"Jl. Letkol Iskandar No.18, 24 Ilir, Kec. Bukit Kecil, Kota Palembang, Palembang, Indonesia","-2,983855","104,7550364"
30,Belajar Tari Bali Bersama Ajik bagus,Musik,"Jl. Monkey Forest, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571",Bali,The Evitel Resort Ubud,18-Dec-23,"Jl. Monkey Forest, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Bali, Indonesia","-8,5124168","115,2609774"
31,Petualangan Menjelajah Kerajaan Melayu di Jambi untuk Arkeolog,Wisata,"Jalan Dr. T. Mansur No.9, Padang Bulan, Kec. Medan Baru, Kota Medan",Medan,Universitas Sumatera Utara,11-Dec-23,"Jalan Dr. T. Mansur No.9, Padang Bulan, Kec. Medan Baru, Kota Medan, Medan, Indonesia","3,5630956","98,6573084"
32,Young Fashion Class,Hiburan,Jalan Kaptain A Rivai,Palembang,Batiqa Hotel,10-Dec-23,"Jalan Kaptain A Rivai, Palembang, Indonesia","-2,9793493","104,747655"
33,Jelajah Keindahan Pulau Pisang,Wisata,"West Pesisir Regency, Lampung",Lampung,Pulau Pisang,23-Nov-23,"West Pesisir Regency, Lampung, Lampung, Indonesia","-5,2928191","104,1233667"
34,Kursus Kreativitas dan Seni untuk Anak,Lainnya,"Kompleks Asia Mega Mas Blok 12-12 A, Jl. Asia, Sukaramai II",Medan,Star Residence,22-Nov-23,"Kompleks Asia Mega Mas Blok 12-12 A, Jl. Asia, Sukaramai II, Medan, Indonesia","3,5870114","98,7048771"
35,KOPDAR KOMUNITAS BARONGSAI,Edukasi,"Slamet Riyadi St No.397, Sondakan, Laweyan, Surakarta",Surakarta,Orient Restaurant,19-Nov-23,"Slamet Riyadi St No.397, Sondakan, Laweyan, Surakarta, Surakarta, Indonesia","-7,5629171","110,7966478"
36,Coffee Fest Nov 2023,Lainnya,Jalan Sultan Mahmud Badaruddin,Palembang,Benteng Kuto Besak,09-Nov-23,"Jalan Sultan Mahmud Badaruddin, Palembang, Indonesia","-2,9132407","104,6939417"
37,Kopdar Komunitas Pecinta Sejarah,Edukasi,"Cafe Coco Madeleine. Jl. Sisingamangaraja No.21, Candi, Kec. Candisari",Semarang,coco madelaine,29-Oct-23,"Cafe Coco Madeleine. Jl. Sisingamangaraja No.21, Candi, Kec. Candisari, Semarang, Indonesia","-7,0159808","110,4269789"
38,Kopdar Japan Manga Lover,Lainnya,"Jl. K.S. Tubun No.22, Manahan, Kec. Banjarsari, Kota Surakarta",Surakarta,SO RAMEN,29-Oct-23,"Jl. K.S. Tubun No.22, Manahan, Kec. Banjarsari, Kota Surakarta, Surakarta, Indonesia","-7,5568029","110,8026958"
39,Kopdar Wagyu Lovers,Lainnya,"Jl. Gajahmada No.123, Pekunden, Kec. Semarang Tengah, Kota Semarang ",Semarang, Hotel Tentrem.,29-Oct-23,"Jl. Gajahmada No.123, Pekunden, Kec. Semarang Tengah, Kota Semarang , Semarang, Indonesia","-6,9867306","110,4218513"
40,Kopdar Penikmat Sushi,Lainnya," Jl. Kawi Raya No.31, Wonotingal, Kec. Candisari, Kota Semarang",Semarang, De'Sushi.,29-Oct-23," Jl. Kawi Raya No.31, Wonotingal, Kec. Candisari, Kota Semarang, Semarang, Indonesia","-7,0093105","110,4224743"
41,PROMO!!!(E-TICKET Festival Ber3) Creative Fest 2023,Musik,"Jl. Ampera No.88, Sungai Jawi, Kec. Pontianak Kota, Kota Pontianak, Ka",Pontianak,Lapangan bola IKIP ,07-Oct-23,"Jl. Ampera No.88, Sungai Jawi, Kec. Pontianak Kota, Kota Pontianak, Ka, Pontianak, Indonesia","-0,0429","109,2922136"
42,PROMO AWAL BULAN (E-TICKET VIP) Creative Fest 2023,Musik,"Jl. Ampera No.88, Sungai Jawi, Kec. Pontianak Kota, Kota Pontianak, Ka",Pontianak,Lapangan bola IKIP ,07-Oct-23,"Jl. Ampera No.88, Sungai Jawi, Kec. Pontianak Kota, Kota Pontianak, Ka, Pontianak, Indonesia","-0,0429","109,2922136"
43,(Presale 2 E-Ticket VIP) Creative Fest 2023,Musik,Jalan Pontianak Kota,Pontianak,Pontianak Part,07-Oct-23,"Jalan Pontianak Kota, Pontianak, Indonesia","-0,0565819","109,3572337"
44,PROMO!!!(E-TICKET VIP Ber5) creative Fest 2023,Musik,"Jl. Ampera No.88, Sungai Jawi, Kec. Pontianak Kota, Kota Pontianak, Ka",Pontianak,Lapangan bola IKIP ,07-Oct-23,"Jl. Ampera No.88, Sungai Jawi, Kec. Pontianak Kota, Kota Pontianak, Ka, Pontianak, Indonesia","-0,0429","109,2922136"
45,PROMO!!!(E-TICKET VIP Ber10) Creative Fest 2023,Musik,"Jl. Ampera No.88, Sungai Jawi, Kec. Pontianak Kota, Kota Pontianak, Ka",Pontianak,Lapangan bola IKIP ,07-Oct-23,"Jl. Ampera No.88, Sungai Jawi, Kec. Pontianak Kota, Kota Pontianak, Ka, Pontianak, Indonesia","-0,0429","109,2922136"
46,PROMO!!!(E-TICKET Festival Ber10) creative Fest 2023,Musik,"Jl. Ampera No.88, Sungai Jawi, Kec. Pontianak Kota, Kota Pontianak, Ka",Pontianak,Lapangan bola IKIP ,07-Oct-23,"Jl. Ampera No.88, Sungai Jawi, Kec. Pontianak Kota, Kota Pontianak, Ka, Pontianak, Indonesia","-0,0429","109,2922136"
47,Promo batik day (E-TICKET VIP) 175Rb Creative Fest 2023,Musik,"Jl. Ampera No.88, Sungai Jawi, Kec. Pontianak Kota, Kota Pontianak, Ka",Pontianak,Lapangan bola IKIP ,07-Oct-23,"Jl. Ampera No.88, Sungai Jawi, Kec. Pontianak Kota, Kota Pontianak, Ka, Pontianak, Indonesia","-0,0429","109,2922136"
48,Promo batik day (E-TICKET Festival) 125RB Creative Fest 2023,Musik,"Jl. Ampera No.88, Sungai Jawi, Kec. Pontianak Kota, Kota Pontianak, Ka",Pontianak,Lapangan bola IKIP ,07-Oct-23,"Jl. Ampera No.88, Sungai Jawi, Kec. Pontianak Kota, Kota Pontianak, Ka, Pontianak, Indonesia","-0,0429","109,2922136"
49,Promo awal bulan ( E-TICKET FESTIVAL) 100 RB  Creative Fest 2023,Musik,"Jl. Ampera No.88, Sungai Jawi, Kec. Pontianak Kota, Kota Pontianak, Ka",Pontianak,Lapangan bola IKIP ,07-Oct-23,"Jl. Ampera No.88, Sungai Jawi, Kec. Pontianak Kota, Kota Pontianak, Ka, Pontianak, Indonesia","-0,0429","109,2922136"
50,PROMO!!!(E+TICKET Festival Ber5) Creative Fest 2023,Musik,"Jl. Ampera No.88, Sungai Jawi, Kec. Pontianak Kota, Kota Pontianak, Ka",Pontianak,Lapangan bola IKIP ,07-Oct-23,"Jl. Ampera No.88, Sungai Jawi, Kec. Pontianak Kota, Kota Pontianak, Ka, Pontianak, Indonesia","-0,0429","109,2922136"
51,PROMO!!(E-TICKET Festival Ber8) Creative Fest 2023,Musik,"Jl. Ampera No.88, Sungai Jawi, Kec. Pontianak Kota, Kota Pontianak, Ka",Pontianak,Lapangan bola IKIP ,07-Oct-23,"Jl. Ampera No.88, Sungai Jawi, Kec. Pontianak Kota, Kota Pontianak, Ka, Pontianak, Indonesia","-0,0429","109,2922136"
52,Promo batik day(E-TICKET Festival) 75Rb tercepat Creative Fest 2023,Musik,"Jl. Ampera No.88, Sungai Jawi, Kec. Pontianak Kota, Kota Pontianak, Ka",Pontianak,Lapangan bola IKIP ,07-Oct-23,"Jl. Ampera No.88, Sungai Jawi, Kec. Pontianak Kota, Kota Pontianak, Ka, Pontianak, Indonesia","-0,0429","109,2922136"
53,Promo batik day (E-TICKET Festival) 100Rb Creative Fest 2023,Musik,"Jl. Ampera No.88, Sungai Jawi, Kec. Pontianak Kota, Kota Pontianak, Ka",Pontianak,Lapangan bola IKIP ,07-Oct-23,"Jl. Ampera No.88, Sungai Jawi, Kec. Pontianak Kota, Kota Pontianak, Ka, Pontianak, Indonesia","-0,0429","109,2922136"
54,PROMO AWAL BULAN (E-TICKET Festival) Creative Fest 2023,Musik,"Jl. Ampera No.88, Sungai Jawi, Kec. Pontianak Kota, Kota Pontianak, Ka",Pontianak,Lapangan bola IKIP ,07-Oct-23,"Jl. Ampera No.88, Sungai Jawi, Kec. Pontianak Kota, Kota Pontianak, Ka, Pontianak, Indonesia","-0,0429","109,2922136"
55,Promo awal bulan (E-TICKET VIP) 150 RB CREATIVE FEST 2023,Musik,"Jl. Ampera No.88, Sungai Jawi, Kec. Pontianak Kota, Kota Pontianak, Ka",Pontianak,Lapangan bola IKIP ,07-Oct-23,"Jl. Ampera No.88, Sungai Jawi, Kec. Pontianak Kota, Kota Pontianak, Ka, Pontianak, Indonesia","-0,0429","109,2922136"
56,PROMO!!!(E-TICKET VIP Ber3) Creative Fest 2023,Musik,"Jl. Ampera No.88, Sungai Jawi, Kec. Pontianak Kota, Kota Pontianak, Ka",Pontianak,Lapangan bola IKIP ,07-Oct-23,"Jl. Ampera No.88, Sungai Jawi, Kec. Pontianak Kota, Kota Pontianak, Ka, Pontianak, Indonesia","-0,0429","109,2922136"
57,PROMO!!!(E-TICKET VIP Ber8) Creative Fest 2023,Musik,"Jl. Ampera No.88, Sungai Jawi, Kec. Pontianak Kota, Kota Pontianak, Ka",Pontianak,Lapangan bola IKIP ,07-Oct-23,"Jl. Ampera No.88, Sungai Jawi, Kec. Pontianak Kota, Kota Pontianak, Ka, Pontianak, Indonesia","-0,0429","109,2922136"
58,Tips Membaca Buku Cerita Pada Balita,Edukasi,Jln. Sudirman Malang,Malang,Cafe D'Ges,06-Oct-23,"Jln. Sudirman Malang, Malang, Indonesia","-7,9736139","112,6385119"
59,Kopdar Pengusaha Teh,Bisnis,"Jl. Raya Kledokan No.12, Tempel, Caturtunggal, Kec. Depok, Sleman",Yogyakarta,chai tea kledokan,01-Oct-23,"Jl. Raya Kledokan No.12, Tempel, Caturtunggal, Kec. Depok, Sleman, DI Yogyakarta, Indonesia","-7,7805185","110,408126"
60,Kopdar Komunitas Barongsai,Musik,"Slamet Riyadi St No.397, Sondakan, Laweyan, Surakarta",Surakarta,Orient Restaurant,30-Sep-23,"Slamet Riyadi St No.397, Sondakan, Laweyan, Surakarta, Surakarta, Indonesia","-7,5629171","110,7966478"
61,KOPDAR PECINTA TARI DAERAH,Musik,"Jl. Sriwijaya No.29 A, Wonodri, Kec. Candisari, Kota Semarang, Jawa Te",Semarang,WARKOP MBA LONDO,29-Sep-23,"Jl. Sriwijaya No.29 A, Wonodri, Kec. Candisari, Kota Semarang, Jawa Te, Semarang, Indonesia","-7,00316","110,4250405"
62,Kopdar Batik lovers,Edukasi,"Jl. Adi Sumarmo, Klodran Indah, Klodran, Kec. Colomadu, Karanganyar",Karang Anyar,Loske Cafe,24-Sep-23,"Jl. Adi Sumarmo, Klodran Indah, Klodran, Kec. Colomadu, Karanganyar, Karang Anyar, Indonesia","-7,5352702","110,7939812"
63,Kopdar Pengerajin Batik,Edukasi,"Jl. Gondosuli No.125, Laweyan, Kec. Laweyan, Kota Surakarta",Surakarta,Saudagar Laweyan,24-Sep-23,"Jl. Gondosuli No.125, Laweyan, Kec. Laweyan, Kota Surakarta, Surakarta, Indonesia","-7,5705293","110,7959364"
64,Kopdar Pecinta Kultur Jepang,Edukasi,"Jl. Ir. Sutami No.32, Jebres, Kec. Jebres, Kota Surakarta, Jawa Tengah",Surakarta,Almamater Coffee & Eatery,24-Sep-23,"Jl. Ir. Sutami No.32, Jebres, Kec. Jebres, Kota Surakarta, Jawa Tengah, Surakarta, Indonesia","-7,5606209","110,8488038"
65,Kopdar Tea Lovers,Lainnya,"Jl. Banjarsari No.14, Tembalang, Kec. Tembalang, Kota Semarang",Semarang,Dontea Semarang,24-Sep-23,"Jl. Banjarsari No.14, Tembalang, Kec. Tembalang, Kota Semarang, Semarang, Indonesia","-7,0589813","110,437078"
66,Kopdar Pecinta Pohon,Edukasi,"Jl. Dr. Wahidin No.15 A, Penumping, Kec. Laweyan, Kota Surakarta",Surakarta,Cold 'N Brew Wahidin,24-Sep-23,"Jl. Dr. Wahidin No.15 A, Penumping, Kec. Laweyan, Kota Surakarta, Surakarta, Indonesia","-7,5666116","110,8059084"
67,Kopdar Penikmat Sushi,Lainnya,"Jl. Kawi Raya No.31, Wonotingal, Kec. Candisari, Kota Semarang",Semarang,De'Sushi,23-Sep-23,"Jl. Kawi Raya No.31, Wonotingal, Kec. Candisari, Kota Semarang, Semarang, Indonesia","-7,0093105","110,4224743"
68,Kopdar Japan Manga Lover,Edukasi,"Jl. K.S. Tubun No.22, Manahan, Kec. Banjarsari, Kota Surakarta",Surakarta,So Ramen,22-Sep-23,"Jl. K.S. Tubun No.22, Manahan, Kec. Banjarsari, Kota Surakarta, Surakarta, Indonesia","-7,5568029","110,8026958"
69,Kopdar Anime Lovers,Edukasi,"Jl. Raya Baturan, Klemburan, Baturan, Kec. Colomadu, Karanganganyar",Karang Anyar,Unknown Coffee,22-Sep-23,"Jl. Raya Baturan, Klemburan, Baturan, Kec. Colomadu, Karanganganyar, Karang Anyar, Indonesia","-7,5460764","110,7893619"
70,Kopdar K Waver,Musik,"Jl. Ronggowarsito No.171, Timuran, Kec. Banjarsari, Kota Surakarta",Surakarta,Butler Coffee Boutique,21-Sep-23,"Jl. Ronggowarsito No.171, Timuran, Kec. Banjarsari, Kota Surakarta, Surakarta, Indonesia","-7,5656089","110,815508"
71,Kopdar Wagyu Lovers,Lainnya,"Jl. Gajahmada No.123, Pekunden, Kec. Semarang Tengah, Kota Semarang",Semarang,Hotel Tentrem,21-Sep-23,"Jl. Gajahmada No.123, Pekunden, Kec. Semarang Tengah, Kota Semarang, Semarang, Indonesia","-6,9867306","110,4218513"
72,Kopdar Komunitas Pecinta Sejarah,Bisnis,"Jl. Sisingamangaraja No.21, Candi, Kec. Candisari, Semarang",Semarang,Cafe Coco Madeleine,17-Sep-23,"Jl. Sisingamangaraja No.21, Candi, Kec. Candisari, Semarang, Semarang, Indonesia","-7,0159808","110,4269789"
73,[E-Ticket] Seminar dan pelatihan Komunitas Pengrajin Cinderamata BALI,Edukasi,"Jl. Pantai Kuta No.18, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361",Bali,Banjar Pande Mas Kuta,16-Sep-23,"Jl. Pantai Kuta No.18, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Bali, Indonesia","-8,7223181","115,1755004"
74,Kopdar Komunitas Barongsai,Musik,"Slamet Riyadi St No.397, Sondakan, Laweyan, Surakarta",Surakarta,Orient Restaurant,09-Sep-23,"Slamet Riyadi St No.397, Sondakan, Laweyan, Surakarta, Surakarta, Indonesia","-7,5629171","110,7966478"
75,Kopdar Pecinta Komik,Lainnya,"Jl. Pepaya 6, Klodran Indah, Klodran, Kec. Colomadu, Karanganyar",Karang Anyar,Bento Kopi Klodran,09-Sep-23,"Jl. Pepaya 6, Klodran Indah, Klodran, Kec. Colomadu, Karanganyar, Karang Anyar, Indonesia","-7,5390458","110,7940832"
76,Kopdar Mural Club,Edukasi,"Jl. Kahuripan Timur 3 No.19, Sumber, Kec. Banjarsari, Kota Surakarta",Surakarta, Tenda Daun Solo,09-Sep-23,"Jl. Kahuripan Timur 3 No.19, Sumber, Kec. Banjarsari, Kota Surakarta, Surakarta, Indonesia","-7,5456937","110,808815"
77,K-Pop Love Party,Musik,"Jl. Ir. SoekarnoI, Madegondo, Kec. Grogol, Kabupaten Sukoharjo",Yogyakarta,Pakuwon Mall Basement,31-Aug-23,"Jl. Ir. SoekarnoI, Madegondo, Kec. Grogol, Kabupaten Sukoharjo, DI Yogyakarta, Indonesia","-7,6013231","110,813727"
78,Kopdar Penikmat Sushi,Budaya,"Jl. Kawi Raya No.31, Wonotingal, Kec. Candisari, Kota Semarang",Semarang,De'Sushi,30-Aug-23,"Jl. Kawi Raya No.31, Wonotingal, Kec. Candisari, Kota Semarang, Semarang, Indonesia","-7,0093105","110,4224743"
79,Kopdar Wagyu Lovers,Budaya,"Jl. Gajahmada No.123, Pekunden, Kec. Semarang Tengah, Kota Semarang",Semarang,Hotel Tentrem,30-Aug-23,"Jl. Gajahmada No.123, Pekunden, Kec. Semarang Tengah, Kota Semarang, Semarang, Indonesia","-6,9867306","110,4218513"
80,Kopdar Tea Lovers,Budaya,"Jl. Banjarsari No.14, Tembalang, Kec. Tembalang, Kota Semarang",Semarang,Dontea Semarang,29-Aug-23,"Jl. Banjarsari No.14, Tembalang, Kec. Tembalang, Kota Semarang, Semarang, Indonesia","-7,0589813","110,437078"
81,Manfaat olahraga push up harian,Olahraga,"Jl. Ambon No.11-15, Citarum, Kec. Bandung Wetan, Kota Bandung",Bandung,Saparua Sports Complex,09-May-24,"Jl. Ambon No.11-15, Citarum, Kec. Bandung Wetan, Kota Bandung, Bandung, Indonesia","-6,9073875","107,6161702"
82,OTS - Grand Final Yuasa Stand Up Bolahraga League Season 3,Musik,"Jl HR Rasuna Said 22 Kavling C, RT2/RW.5,Karet Kuningan, Kec Setiabudi",Jakarta Selatan,Usmar Ismail Hall,28-Mar-24,"Jl HR Rasuna Said 22 Kavling C, RT2/RW.5,Karet Kuningan, Kec Setiabudi, Jakarta Selatan, Indonesia","-6,2198692","106,8323493"
83,Early Bird - Grand Final Yuasa Stand Up Bolahraga LeagueÃ‚Â SeasonÃ‚Â 3,Musik,"Jl HR Rasuna Said 22 Kavling C, RT2/RW.5,Karet Kuningan, Kec Setiabudi",Jakarta Selatan,Usmar Ismail Hall,28-Mar-24,"Jl HR Rasuna Said 22 Kavling C, RT2/RW.5,Karet Kuningan, Kec Setiabudi, Jakarta Selatan, Indonesia","-6,2198692","106,8323493"
84,Memperhatikan Asupan Gizi Ketika Olahraga Sesi 4,Edukasi,"Jl. Padat Karya No.212, Cibeber, Kec. Cimahi Sel., Kota Cimahi,",Cimahi,Inaka Coffee,30-Nov-23,"Jl. Padat Karya No.212, Cibeber, Kec. Cimahi Sel., Kota Cimahi,, Jawa Barat, Indonesia","-6,8921558","107,517683"
85,Memperhatikan Asupan Gizi Ketika Olahraga,Olahraga,"Jl. Padat Karya No.212, Cibeber, Kec. Cimahi Sel., Kota Cimahi,",Cimahi,Inaka Coffee,25-Nov-23,"Jl. Padat Karya No.212, Cibeber, Kec. Cimahi Sel., Kota Cimahi,, Jawa Barat, Indonesia","-6,8921558","107,517683"
86,Kursus Olahraga dan Aktivitas Fisik untuk Anak,Lainnya,Jl. Gagak Hitam No. 14 Medan,Medan,Saka Hotel,22-Nov-23,"Jl. Gagak Hitam No. 14 Medan, Medan, Indonesia","3,5885257","98,6265492"
87,Kursus Pemulihan Cedera Olahraga,Olahraga,Jl. Cirebon No. 76A Medan,Medan,Soechi International,18-Nov-23,"Jl. Cirebon No. 76A Medan, Medan, Indonesia","3,583408","98,6843526"
88,Kursus Gizi dan Olahraga,Edukasi,"Jl. Olo Ladang No.12, Olo, Kec. Padang Bar., Kota Padang",Padang,ReFIT Gym Padang,15-Nov-23,"Jl. Olo Ladang No.12, Olo, Kec. Padang Bar., Kota Padang, Padang, Indonesia","-0,9430117","100,3532786"
89,Kopdar Komunitas Olahraga Ekstrem,Olahraga,"Jl. Ahmad Yani No.197, Wonodri, Kec. Semarang Sel., Kota Semarang",Semarang,The Blue Lotus Coffee House and Restaura,29-Oct-23,"Jl. Ahmad Yani No.197, Wonodri, Kec. Semarang Sel., Kota Semarang, Semarang, Indonesia","-6,9945658","110,4314401"
90,Psikologi Olahraga: Mental Training dan Evaluasinya,Edukasi,Jalan Sudirman Bandar Lampung,Lampung,Cafe Idola,20-Sep-23,"Jalan Sudirman Bandar Lampung, Lampung, Indonesia","-5,4226758","105,2651446"
