Id,Title,Category,Location_Address,Location_City,Location_Venue,Event_Start,Full_Address,Latitude,Longitude
338,Market Outlook Shariah - Looking Ahead 2H2024,Bisnis,"Revenue Tower Lt 10-11 District 8 SCBD, Jalan Jendral Sudirman Kav 52-53, Jakarta 12190",Jakarta,"The Moove, Gafoy, Summarecon Mall Kelapa Gading",07-Oct-24,"Revenue Tower Lt 10-11 District 8 SCBD, Jalan Jendral Sudirman Kav 52-53, Jakarta 12190, DKI Jakarta, Indonesia","-6,227311","106,8071277"
339,Dog Yoga with Beyond Bliss 18 May 2024,Lainnya,Summarecon Mall Kelapa Gading,Jakarta,"The Moove, Gafoy, Summarecon Mall Kelapa Gading",27-Sep-24,"Summarecon Mall Kelapa Gading, DKI Jakarta, Indonesia","-6,1572666","106,9084263"
340,Online Class | Public Speaking for Kids,Bisnis,"Jalan Jatayu S-57, Rewwin, Desa Wedoro, Kecamatan Waru, Sidoarjo 61256",Sidoarjo,HETERO SPACE,31-Dec-24,"Jalan Jatayu S-57, Rewwin, Desa Wedoro, Kecamatan Waru, Sidoarjo 61256, Sidoarjo, Indonesia","-7,3463949","112,7527211"
341,ROCKAROMA THREESIXTY LEGACY TOUR PURWOKERTO,Musik,"DELTA ASRI NO 86, NGINGAS WARU SIDOARJO",Sidoarjo,DELTASARI BARU,14-Aug-24,"DELTA ASRI NO 86, NGINGAS WARU SIDOARJO, Sidoarjo, Indonesia","-7,363857","112,7433742"
342,KONSER DEKADE,Musik," Jalan Raya Taman Mini Pintu 1 Kelurahan Ceger, Cipayung Jakarta Timur 13820.",Jakarta,"Gedung Sasono Langen Budoyo, TMII",01-Nov-24," Jalan Raya Taman Mini Pintu 1 Kelurahan Ceger, Cipayung Jakarta Timur 13820., DKI Jakarta, Indonesia","-6,3006642","106,8838314"
343,Nusa Penida Tour For Couples,Wisata,"JL. Imam Bonjol No 257B Denpasar Bali, Desa/Kelurahan Pemecutan Kelod, Kec. Denpasar Barat, Kota Denpasar, Provinsi Bali, Kode Pos: 80119",Bali,Nusa Penida Island,24-Sep-24,"JL. Imam Bonjol No 257B Denpasar Bali, Desa/Kelurahan Pemecutan Kelod, Kec. Denpasar Barat, Kota Denpasar, Provinsi Bali, Kode Pos: 80119, Bali, Indonesia","-8,6704582","115,2126293"
344,Bali Instagram Tour,Wisata,Jln Imam Bonjol No 288 Denpasar Bali - Indonesia,Bali,Bali Nusa Dua Theatre,09-Oct-24,"Jln Imam Bonjol No 288 Denpasar Bali - Indonesia, Bali, Indonesia","-8,6860525","115,1934781"
345,Bali Full-Day Water Temples and UNESCO Rice Terraces,Wisata,"JALAN GUNUNG ABANG 3 â„–4, DESA/KELURAHAN TEGAL KERTHA, KEC. DENPASAR BARAT, KOTA DENPASAR, PROVINSI BALI",Bali,GWK Bali,04-Nov-24,"JALAN GUNUNG ABANG 3 â„–4, DESA/KELURAHAN TEGAL KERTHA, KEC. DENPASAR BARAT, KOTA DENPASAR, PROVINSI BALI,  Bali, Indonesia","-8,6606942","115,1963618"
346,Workshop Parracord Collar 18 Mei 2024,Lainnya,Summarecon Mall Kelapa Gading,Jakarta,"The Moove, GAFOY, Summarecon Mall Kelapa Gading",11-Sep-24,"Summarecon Mall Kelapa Gading, DKI Jakarta, Indonesia","-6,1572666","106,9084263"
347,TEDxAvicenna Cinere School - JUST YOLO,Lainnya,"Jl. Flamboyan Blok F, Cinere, Depok, 16514, Jawa Barat.",Jakarta,"Teater Wahyu Sihombing, Taman Ismail Marzuki",16-Jun-24,"Jl. Flamboyan Blok F, Cinere, Depok, 16514, Jawa Barat., DKI Jakarta, Indonesia","-6,3419648","106,7806842"
348,Walking Tour & Membuat Sabun Bersama Ibu-Ibu di Desa Binaan,Lainnya,"Jl. Raya Cilandak KKO No.31, RT.1/RW.8, Ragunan, Kec. Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12550",Jakarta,Stasiun Tanahabang,19-May-24,"Jl. Raya Cilandak KKO No.31, RT.1/RW.8, Ragunan, Kec. Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12550, DKI Jakarta, Indonesia","-6,3091171","106,8137345"
349,10 INDONESIAN PRIVATE LESSONS,Edukasi,"JALAN RAYA MENINTING, Desa/Kelurahan Meninting, Kec. Batu Layar,",Nusa Tenggara Barat,favehotel Langko Mataram,08-Oct-24,"JALAN RAYA MENINTING, Desa/Kelurahan Meninting, Kec. Batu Layar,, Nusa Tenggara Barat, Indonesia","-8,5477925","116,0727006"
